balance,duration,pdays,age,job,marital,education,default,housing,loan,contact,day,month,campaign,previous,poutcome
-0.7371453902868369,-0.32117690831913465,-1.0117392804071266,37,9,2,3,0,0,0,0,13,5,1,3,2
-0.09593026966052383,1.295220342129255,0.6706595796921435,30,0,2,2,0,1,0,0,28,10,3,1,0
-0.37674135456521324,-0.9788833757429621,-0.02048806013242151,37,4,2,3,0,1,0,0,17,11,2,1,0
-0.6128372985615126,-0.17625853414100315,2.353058439791414,46,1,1,2,0,1,0,0,14,8,3,1,1
0.2304902589707234,-0.6556039256532842,-0.34787378425984705,34,9,2,2,0,1,0,0,22,7,2,8,1
-0.8077953129220932,-0.7336368963645857,-0.9117047535904133,27,8,2,3,0,0,0,0,31,8,3,1,0
0.734877048417363,-0.5552758204530394,-0.12052258694913487,74,5,1,3,0,0,0,0,15,3,1,2,2
-0.6405606859247144,1.90276275695296,-1.0299273761919836,30,0,2,3,0,0,0,0,30,4,1,2,2
-0.30609143192995697,1.9529268095530823,0.9616691122498552,40,1,1,2,0,1,0,0,17,4,2,1,0
-0.08609293866067802,0.16374226681538223,-0.08414639537942092,36,4,1,3,0,0,0,0,14,12,3,4,2
-0.5198298054720614,0.8548914359726246,1.3345250758394231,34,9,2,2,0,1,0,0,6,5,2,2,0
2.284703832302162,0.31980820823798534,-0.13871068273399184,38,4,1,2,0,0,0,0,25,11,2,1,2
-0.3838957771105556,-1.179539586143452,1.3799953153015656,40,1,1,1,0,1,0,0,18,5,3,2,0
-0.6083657844706736,0.7099730617944932,-0.13871068273399184,36,9,1,3,0,0,0,0,12,2,2,1,2
1.1712968236832497,-0.009045025473928372,-0.9662690409449842,65,2,1,3,0,0,0,1,9,2,1,1,2
-0.4840576927453493,0.29193929012680625,-0.14780473062642033,37,9,1,2,0,0,0,0,22,10,2,8,1
2.1550299236678305,-1.3188841766993475,-0.08414639537942092,57,4,1,3,0,1,0,0,21,11,2,1,0
0.3503268366052087,1.3398106111071415,-0.09324044327184941,75,5,1,1,0,0,0,0,1,9,2,2,2
-0.6316176577430365,-0.9008504050316606,-1.7847333512635482,31,10,2,2,0,0,0,0,30,1,1,1,1
-0.8364130031034628,-0.059209078074050805,-0.11142853905670638,48,4,2,3,0,0,0,0,28,6,3,6,1
1.7436506273106422,-0.24871772123006888,-0.9207988014828418,36,2,1,2,0,0,0,0,12,11,1,8,0
-0.8650306932848324,-1.0847852645654428,1.5618762731501354,27,7,1,2,0,1,0,0,18,5,1,1,0
-0.7371453902868369,-1.363474445677234,0.21595718507071918,48,9,1,2,0,0,1,0,3,2,2,3,1
-0.8301528833762881,-0.1651109668965315,-0.14780473062642033,36,4,1,3,0,0,0,0,12,7,2,7,0
0.3869932521500885,0.1748898340598539,-0.14780473062642033,35,1,1,2,0,1,0,0,12,8,1,4,2
-0.09861317811502723,-0.9733095921207263,-1.611946441307407,36,9,1,3,0,1,1,0,25,5,2,3,0
-0.7514542353775217,-0.7392106799868216,0.7252238670467145,36,4,2,3,0,1,0,0,13,5,2,4,0
-0.5949512421981565,2.761125434777277,1.4345596026561365,42,10,1,2,0,1,0,0,7,5,3,2,0
1.7928372823098713,-0.2264225867411256,3.062394175400836,30,8,2,3,0,0,0,0,23,7,1,1,0
-0.25511617129439235,0.8381700851059172,0.4342143344890029,24,4,2,3,0,1,0,0,15,4,2,2,1
-0.33828633338399783,0.1804636176820897,-0.5024725984311313,44,9,2,3,0,0,0,0,16,10,1,3,0
-0.7076333972872995,-0.5218331187196243,-0.2569333053355622,52,1,1,1,0,1,0,0,6,5,2,2,0
-0.0610524597519796,1.0444000791286427,1.3436191237318516,31,1,2,2,0,1,0,0,14,5,1,2,2
-0.49836653783603413,-0.4660952824972661,-0.9753630888374127,29,0,2,2,0,0,0,0,9,11,2,3,2
-0.8703965101938392,-0.41593122989714365,-0.06595829959456395,30,8,2,2,0,0,0,0,25,2,1,2,2
0.45853747760351254,-1.0959328318099144,-0.9389868972676988,44,0,2,2,0,0,0,0,10,11,1,3,2
-0.3007256150209502,1.451286283551858,1.1890203095605674,31,0,1,2,0,1,0,0,15,5,1,3,0
-0.799746587558583,-0.5552758204530394,-0.04777020380970697,37,9,1,3,0,1,0,0,25,8,1,1,2
-0.633406263379372,-0.5162593350973885,-0.9298928493752703,26,0,2,3,0,0,1,0,2,6,1,2,2
-0.9133230454658936,-0.17625853414100315,-0.9389868972676988,38,4,2,3,0,0,0,0,11,9,3,3,2
0.8922743444148958,-1.1628182352767444,-0.4933785505387029,35,9,1,2,0,1,1,0,18,11,2,1,0
-0.9133230454658936,-0.19297988500771063,-0.9207988014828418,37,4,2,3,0,0,0,0,8,6,2,1,2
1.2321094153186603,0.06341416161513737,1.389089363193994,41,7,1,2,0,1,0,0,15,5,2,2,0
-0.44560267156413386,2.34309166310959,-1.257278573502696,49,9,1,3,0,1,0,0,2,6,1,3,0
1.5719444862224246,-0.6110136566753975,-0.11142853905670638,35,9,1,2,0,0,0,0,26,4,2,2,2
-0.9133230454658936,0.04669281074842989,-0.9298928493752703,36,4,2,3,0,0,1,0,18,11,1,4,0
-0.7979579819222473,1.0611214299953502,-0.3387797363674186,33,1,2,2,0,1,1,0,30,4,1,1,0
-0.8426731228306373,1.551614388752103,-0.5752249815705592,40,10,2,3,0,0,0,0,15,10,1,1,0
-0.8104782213765965,0.18603740130432553,-0.1659928264112773,63,1,1,1,0,0,0,1,27,4,1,7,0
-0.3982046222012404,-0.3992098790304362,-0.7934821309888429,33,4,2,3,0,0,0,0,25,5,1,2,1
0.5586993932383062,-0.17068475051876733,-0.12961663484156336,41,9,2,3,0,1,0,0,4,2,1,6,2
-1.1869797078252404,0.0912830797263165,2.3712465355762706,42,0,1,1,0,1,0,0,17,8,1,1,2
-0.7335681790141657,2.2706324760205243,-0.720729747849415,39,10,1,3,0,0,0,0,3,6,1,1,0
-0.795275073467744,-0.5441282532085676,-0.720729747849415,26,8,2,2,0,0,0,0,1,10,1,1,2
1.578204605949599,0.04669281074842989,-1.148149998793554,26,4,2,3,0,0,0,0,3,6,2,1,2
1.6086109017673043,-0.7447844636090574,-0.9662690409449842,68,5,1,3,0,0,0,0,5,3,1,3,2
0.3655299845140613,1.1558757515733593,-0.9753630888374127,67,5,1,1,0,0,0,0,11,1,2,3,0
-0.22023836138584812,-1.079211480943207,-0.8389523704509854,43,10,1,2,0,0,0,0,14,8,1,1,0
-0.682592918378601,-1.1460968844100368,-1.0026452325146982,54,1,1,1,0,0,0,1,25,5,1,1,0
-0.6235689323795262,0.2696441556378629,1.034421495389283,39,7,1,1,0,1,0,0,8,5,2,4,0
-0.07536130484266441,-1.2854414749659324,-0.07505234748699244,32,4,1,3,0,0,0,0,26,5,1,1,0
-0.4742203617455035,-0.2264225867411256,-0.9753630888374127,32,9,2,2,0,0,0,0,8,10,2,7,2
-0.37316414329254205,0.6598090091943708,-0.02048806013242151,32,1,2,2,0,0,0,0,30,1,2,2,1
-0.07536130484266441,-1.1238017499210935,-0.9480809451601272,32,4,1,3,0,0,0,0,28,8,1,2,0
-0.6709669817424196,-0.6110136566753975,-0.9753630888374127,33,4,1,3,0,1,0,0,13,11,2,2,2
-0.9133230454658936,0.748989547150144,-0.02048806013242151,37,4,1,3,0,0,0,0,15,1,2,1,1
0.4603260832398482,-0.1874061013854748,-0.18418092219613427,33,8,1,2,0,0,0,0,6,8,2,4,2
-0.39731031938307265,-0.2710128557190122,-0.4115321195068465,34,4,1,3,0,1,0,0,20,4,2,1,0
-0.9088515313750546,1.5070241197742162,-0.9480809451601272,61,1,1,1,0,0,0,0,6,8,2,3,2
-1.2674669614603427,0.843743868728153,1.3799953153015656,60,0,1,2,0,1,0,0,11,5,1,1,0
1.1453620419563835,-1.0123260774763772,-1.0117392804071266,76,5,1,2,0,0,0,1,5,2,1,2,0
-0.36064390383819284,0.38111982808257944,1.2435845969151382,36,7,1,2,0,0,0,0,13,7,1,2,2
0.3199205407875035,-0.5719971713197468,-0.11142853905670638,36,4,2,3,0,0,0,0,25,5,1,1,0
1.0773950277756308,-0.6110136566753975,-0.9026107056979848,41,4,1,3,0,0,0,0,7,8,2,1,0
-1.2442150881879797,-0.17068475051876733,1.3345250758394231,33,0,1,2,0,1,0,0,7,5,1,1,0
-0.64234929156105,0.3532509099714003,0.9343869685725696,33,9,1,2,0,1,0,0,3,2,1,5,2
0.8895914359603925,-0.3323244755636063,1.3618072195167086,32,4,2,3,0,0,0,0,13,4,1,1,2
-0.4160906785645965,0.42571009706046603,-1.075397615654126,24,9,1,2,0,1,0,0,6,11,2,2,2
0.3530097450597121,-0.41035744627490783,-0.1023344911642779,52,10,1,2,0,0,0,0,13,9,3,3,2
-0.41072486165558963,-0.532980685964096,1.498217937903136,33,6,2,3,0,1,1,0,6,4,1,1,0
-0.862347784830329,-1.0903590481876786,-1.0390214240844122,37,4,1,3,0,0,0,0,30,4,2,1,2
0.11154798415440592,0.35882469359363617,-1.1572440466859826,68,5,1,2,0,0,0,0,13,5,1,5,2
-0.4321881292916169,0.2640703720156271,-0.13871068273399184,36,4,2,3,0,0,0,0,23,6,1,5,2
-0.7899092565587371,-1.1182279662988577,0.7888822022937139,31,9,2,2,0,0,0,0,26,5,1,2,1
-0.59763415065266,0.38669361170481525,-0.1568987785188488,36,6,2,3,0,0,0,0,11,8,2,2,2
2.5780351566612003,-0.2319963703633614,-0.1023344911642779,63,2,1,2,0,0,0,1,4,8,2,2,2
