age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
42,admin.,single,secondary,no,-247,yes,yes,telephone,21,oct,519,1,166,1,other,yes
33,services,married,secondary,no,3444,yes,no,telephone,21,oct,144,1,91,4,failure,yes
56,technician,married,secondary,no,589,yes,no,cellular,23,oct,518,1,147,2,success,yes
34,admin.,married,tertiary,no,899,yes,no,cellular,12,nov,114,1,170,3,failure,yes
45,entrepreneur,married,secondary,no,781,no,yes,cellular,17,nov,652,2,126,2,failure,yes
34,management,single,tertiary,no,1494,yes,no,cellular,18,nov,596,1,182,1,other,yes
46,management,married,tertiary,no,0,no,no,cellular,18,nov,716,2,110,3,other,yes
33,technician,single,tertiary,no,149,yes,no,cellular,19,nov,424,2,182,1,other,yes
46,unemployed,divorced,secondary,no,3354,yes,no,cellular,19,nov,522,1,174,1,success,yes
38,blue-collar,married,primary,no,190,yes,no,telephone,19,nov,623,1,175,1,other,yes
40,management,married,tertiary,no,3352,yes,no,cellular,19,nov,639,2,27,1,success,yes
32,technician,married,tertiary,no,4654,yes,yes,cellular,20,nov,276,1,128,2,failure,yes
46,technician,married,tertiary,no,0,no,no,cellular,20,nov,531,1,167,1,failure,yes
37,technician,divorced,secondary,no,3068,yes,yes,cellular,20,nov,370,2,195,1,other,yes
32,services,married,secondary,no,983,yes,no,cellular,20,nov,500,2,133,1,failure,yes
47,technician,married,secondary,no,0,no,no,cellular,21,nov,591,1,10,1,failure,yes
31,management,married,secondary,no,111,no,no,cellular,21,nov,504,2,93,2,failure,yes
31,unemployed,single,primary,no,163,no,no,cellular,30,jan,707,2,2,1,other,yes
40,technician,single,tertiary,no,1646,yes,no,cellular,2,feb,215,1,242,2,failure,yes
44,unemployed,married,secondary,no,0,yes,no,cellular,2,feb,699,1,272,1,failure,yes
43,admin.,single,secondary,no,-247,yes,yes,cellular,2,feb,751,2,76,4,failure,yes
37,management,married,tertiary,no,4089,yes,no,cellular,2,feb,289,2,174,4,other,yes
54,technician,divorced,secondary,no,2156,yes,no,cellular,3,feb,261,1,195,4,failure,yes
32,management,single,tertiary,no,2360,no,no,cellular,3,feb,152,2,160,5,other,yes
31,management,married,tertiary,no,1331,no,no,cellular,3,feb,182,2,90,1,success,yes
28,self-employed,married,tertiary,no,0,yes,no,cellular,4,feb,546,3,196,4,failure,yes
31,management,married,tertiary,no,141,yes,no,cellular,4,feb,572,2,238,7,other,yes
31,technician,single,tertiary,no,1109,no,no,cellular,5,feb,642,1,167,2,failure,yes
26,entrepreneur,single,secondary,no,101,yes,no,cellular,5,feb,810,1,268,1,failure,yes
54,services,married,secondary,no,0,yes,no,cellular,5,feb,686,2,267,1,other,yes
34,management,married,tertiary,no,0,no,no,cellular,6,feb,787,3,9,1,other,yes
33,blue-collar,single,tertiary,no,700,no,no,cellular,9,feb,126,1,88,1,success,yes
34,admin.,married,secondary,no,0,yes,no,cellular,10,feb,97,1,85,1,failure,yes
33,management,single,tertiary,no,3552,no,no,cellular,13,feb,158,2,85,3,failure,yes
44,admin.,divorced,secondary,no,397,yes,yes,cellular,16,feb,127,1,257,1,other,yes
39,blue-collar,single,primary,no,581,yes,no,cellular,27,feb,233,1,270,1,other,yes
60,retired,married,secondary,no,404,no,no,cellular,5,mar,308,2,196,2,failure,yes
31,management,divorced,tertiary,no,883,yes,no,cellular,5,mar,112,2,106,1,failure,yes
44,management,single,tertiary,no,483,no,no,cellular,6,mar,207,2,199,6,success,yes
37,unemployed,single,tertiary,no,1316,yes,no,cellular,10,mar,350,2,112,3,failure,yes
37,services,single,secondary,no,1045,no,no,cellular,17,mar,406,2,41,1,failure,yes
34,technician,married,secondary,no,390,yes,no,cellular,27,mar,95,2,231,2,failure,yes
50,management,married,tertiary,no,414,yes,no,cellular,3,apr,707,1,302,3,failure,yes
55,blue-collar,divorced,secondary,no,1613,yes,no,cellular,3,apr,296,1,270,3,failure,yes
